match_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,class
665657,9994,9993,2,0,Win
665659,8571,8342,1,4,Defeat
665666,9985,8635,0,4,Defeat
665672,9993,9984,1,4,Defeat
665674,9987,8342,2,0,Win
665675,10000,9997,2,0,Win
665679,9994,9999,1,4,Defeat
665680,8571,9993,3,0,Win
665681,8203,9985,0,0,Draw
665686,9985,8571,3,1,Win
665687,9997,10001,0,1,Defeat
665689,9991,10000,0,2,Defeat
665695,9993,8635,0,5,Defeat
665698,8635,9997,1,2,Defeat
665699,9987,9985,1,0,Win
665700,10000,8342,1,1,Draw
665702,9984,9999,2,0,Win
665704,9994,8203,2,1,Win
665712,9985,10001,1,0,Win
665719,9984,9994,4,0,Win
665721,9991,8342,1,1,Draw
665727,9993,10000,1,1,Draw
665728,8342,9985,2,1,Win
665729,8635,8203,2,0,Win
665730,9987,9994,3,1,Win
665733,8571,9984,3,1,Win
665737,9997,8342,1,1,Draw
665739,9984,9987,1,0,Win
665741,8203,8571,1,1,Draw
665745,8635,9987,2,0,Win
665749,10000,9985,1,1,Draw
665753,8571,9994,3,1,Win
665757,10001,9984,2,1,Win
665334,8635,10001,3,0,Win
665335,9987,9991,1,1,Draw
665337,9984,10000,2,2,Draw
665340,8203,8342,2,1,Win
665763,9987,8571,1,1,Draw
665767,9984,9997,3,1,Win
665771,8203,10000,2,1,Win
665775,9993,8342,1,4,Defeat
665342,8342,8571,2,2,Draw
665345,10000,8635,0,2,Defeat
665346,9991,9994,4,1,Win
665349,9993,8203,1,3,Defeat
665352,8635,9985,1,1,Draw
665353,9987,9993,1,1,Draw
665354,9984,8342,2,3,Defeat
665357,8571,9991,1,0,Win
665360,10001,10000,1,2,Defeat
665361,8342,9987,1,1,Draw
665362,9985,8203,3,0,Win
665364,10000,8571,0,2,Defeat
665366,9991,9999,5,1,Win
665368,9993,9994,2,1,Win
665370,8635,9991,1,1,Draw
665374,9984,9993,1,2,Defeat
665376,9994,9985,1,3,Defeat
665380,10001,8342,1,4,Defeat
665384,8342,10000,3,1,Win
665385,9985,9984,1,1,Draw
665393,9993,8571,1,0,Win
665396,8635,9993,1,0,Win
665402,9984,8203,1,0,Win
665405,8571,9985,0,2,Defeat
838468,8571,8342,1,0,Win
838473,8635,6351,4,1,Win
838476,9987,9993,2,1,Win
838581,8342,9991,3,2,Win
838582,9985,8635,5,1,Win
838585,9994,9993,1,0,Win
838586,8571,6351,3,1,Win
838587,8203,9987,2,2,Draw
838588,9989,9984,0,1,Defeat
838590,9991,8571,2,0,Win
838591,9987,9985,4,2,Win
838593,9993,9989,1,1,Draw
838594,10000,8342,2,3,Defeat
838596,6351,9997,6,0,Win
838597,10001,8203,1,1,Draw
838598,9984,8635,1,0,Win
838599,8635,10001,2,0,Win
838600,9985,9991,2,1,Win
838603,9994,8342,1,0,Win
838604,8571,9987,1,0,Win
838605,8203,9993,5,1,Win
838606,9989,10000,0,0,Draw
838607,9984,6351,2,1,Win
838621,8342,9985,2,2,Draw
838622,9991,8203,3,1,Win
838623,9987,8635,1,2,Defeat
838625,10000,9994,1,1,Draw
838632,10001,9984,2,1,Win
838635,8635,8342,2,2,Draw
838636,9985,6351,1,3,Defeat
838639,9997,10000,0,3,Defeat
838640,8571,9993,4,0,Win
838644,10001,9987,1,1,Draw
838646,9984,9991,0,1,Defeat
838651,8342,9989,2,0,Win
838652,9991,8635,1,2,Defeat
838654,9987,9984,3,0,Win
838656,9993,9985,0,1,Defeat
838657,10000,8571,1,1,Draw
838658,9986,10001,0,1,Defeat
838661,6351,8203,0,1,Defeat
838664,8342,9984,0,1,Defeat
838665,9991,10001,4,4,Draw
838667,9993,8635,0,1,Defeat
838669,10000,9985,2,0,Win
838671,9986,9987,1,3,Defeat
838673,9994,8203,3,1,Win
838675,9989,9997,1,2,Defeat
838676,6351,8571,3,1,Win
838680,9987,9991,1,2,Defeat
838681,9997,8342,2,1,Win
838684,8571,9994,0,0,Draw
838686,8203,10000,0,0,Draw
838688,10001,6351,1,1,Draw
838689,9984,9993,1,1,Draw
838692,8342,10001,4,3,Win
838694,9993,9987,0,1,Defeat
838695,9997,8571,1,0,Win
838696,10000,8635,1,2,Defeat
838699,9994,9985,2,1,Win
838702,6351,9991,0,3,Defeat
838707,8635,9994,0,0,Draw
838709,9985,9997,1,0,Win
838712,9987,6351,5,1,Win
