match_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,labellabel,avg_performane_of_main_home_players,avg_performane_of_all_home_players,avg_performane_of_main_away_players,avg_performane_of_all_away_players
662476,9803,10235,2,4,Defeat,70.32323178016726,68.43649272726276,75.6015873015873,71.9896126096126
662477,10219,8611,0,1,Defeat,68.38602339181287,64.31493782666031,76.09985822092084,73.57682175441988
662478,9908,8464,1,0,Win,73.69754189669979,69.66814674958216,68.2003092006033,66.05003953562776
662479,8614,8593,0,3,Defeat,70.27771080846132,66.86560066032683,78.37525252525252,75.24264725173816
662480,8674,9839,1,0,Win,72.06564031620553,69.5284203607887,66.3657062937063,64.50162958253867
662483,10229,10219,6,2,Win,75.94960659223818,73.98982730011438,68.17444444444445,64.76721334221335
662484,9761,8674,0,3,Defeat,70.18237420474262,67.84067248540933,72.1883069828722,69.80504094450606
662485,9839,9908,0,1,Defeat,68.75753811405987,65.73684451253621,73.89648088874223,69.58227274078726
662486,8593,8640,4,1,Win,79.46661616161616,75.97898137216319,76.55846972617587,74.16768386762935
662488,10235,9791,1,1,Draw,75.6015873015873,72.16854478854479,70.47929969671904,68.32041435674132
662489,8525,8614,3,1,Win,67.59783882783884,65.88708250813514,70.27771080846132,67.041325298008
662490,8640,8611,1,1,Draw,75.63956640727255,73.24381445640816,76.1754342577872,73.56176273374416
662491,10228,8464,4,1,Win,72.87690631808279,69.95032072783496,68.55379217273953,66.59787090102878
662492,10235,8277,2,1,Win,76.54825396825397,73.2888258601302,71.79741025641026,68.7129325645115
662493,8525,9908,0,3,Defeat,67.59783882783884,66.22474484579747,74.2934039656653,70.50053503404955
662495,10219,8593,1,5,Defeat,68.04157894736842,64.484712496435,79.4506228956229,75.3126207967117
662496,8614,10229,0,1,Defeat,69.86677627572769,65.39363907618383,75.89580542264753,73.96537222302771
662498,9791,9761,3,0,Win,70.47929969671904,68.32041435674132,69.64707792207793,67.96749155947721
662499,9761,10217,3,0,Win,70.21491008991009,68.71154750353315,68.9584348864994,65.97540398983523
662500,8277,8525,2,1,Win,71.79741025641026,68.33414468572363,67.67212454212454,66.25851107956372
662501,8611,8614,3,0,Win,76.32305330540625,73.18824270372258,70.82555150995931,66.87890487529344
662502,9803,10228,4,2,Win,70.32323178016726,68.34339832166836,72.87690631808279,69.95032072783496
662503,10229,9791,3,2,Win,75.66166400850611,72.74406827445105,70.47929969671904,68.32041435674132
662504,8593,8674,3,0,Win,79.10388888888889,75.20349927849928,72.11240954697476,69.68604273841107
662505,9908,10219,2,0,Win,74.2934039656653,70.32015985367437,68.0261943319838,64.15137916310165
662506,8464,10235,0,0,Draw,68.55379217273953,66.97665877981666,76.54825396825397,73.87550388798469
662507,9839,8640,2,4,Defeat,69.48039525691699,65.917397293089,75.63956640727255,73.44596013681472
662265,10228,8277,1,0,Win,70.64148148148148,68.58422551164487,69.43474358974359,67.59773610228156
662266,10219,10229,0,6,Defeat,67.14157894736842,63.887742799465286,75.89580542264753,73.33259365625705
